Timestamp,CPU_Temp_C,RAM_Used_MB,RAM_Percent,CPU_Percent,Throttled_Hex,Throttled_Meaning
13:41:24,74.35,1469,38.5,0.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:25,74.9,1470,38.5,3.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:26,73.25,1466,38.4,1.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:27,72.7,1468,38.4,2.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:28,72.15,1467,38.4,1.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:29,72.7,1469,38.5,3.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:30,76.0,1451,38.0,43.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:31,74.35,1460,38.3,5.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:32,77.1,1429,37.5,18.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:33,74.9,1427,37.4,2.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:34,75.45,1428,37.5,0.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:35,74.35,1430,37.5,8.4,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:36,73.8,1430,37.5,3.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:37,74.35,1431,37.5,2.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:38,76.0,1442,37.8,8.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:39,79.3,1497,39.2,45.9,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:40,77.65,1669,43.4,38.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:41,79.3,1744,45.3,15.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:42,81.5,1796,46.6,29.6,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:43,79.85,1856,48.0,31.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:44,77.65,1439,37.7,14.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:45,78.2,1442,37.8,4.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:46,77.1,1442,37.8,2.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:47,77.1,1456,38.2,12.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:48,77.1,1426,37.4,10.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:49,76.55,1428,37.5,0.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:50,76.55,1434,37.6,4.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:51,75.45,1434,37.6,0.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:52,75.45,1449,38.0,10.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:53,76.55,1449,38.0,0.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:54,76.0,1452,38.1,2.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:55,76.55,1454,38.1,1.8,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:56,77.1,1454,38.1,2.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:57,74.35,1455,38.1,1.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:58,73.8,1455,38.1,3.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:41:59,77.1,1465,38.4,21.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:00,76.0,1447,37.9,13.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:01,76.0,1447,37.9,1.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:02,76.0,1448,38.0,1.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:03,76.55,1448,38.0,0.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:04,74.9,1449,38.0,2.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:06,73.8,1451,38.0,3.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:07,74.9,1450,38.0,9.5,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:08,74.9,1450,38.0,0.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:09,75.45,1451,38.0,2.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:10,75.45,1451,38.0,0.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:11,75.45,1452,38.1,3.3,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:12,74.9,1453,38.1,1.0,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:13,73.8,1453,38.1,1.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:14,73.25,1454,38.1,2.2,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:42:15,72.7,1454,38.1,0.7,0xe0000,Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
